predictors interp Dz Dt z_max normalisation metric linkage n_clusters CHindex
1 1 2 4 0 1 2 0 3 1.1111730020472046
1 0 3 3 0 0 1 5 1 0.8853182514862405
1 0 0 0 2 0 2 4 3 0.5983768182647148
0 1 0 0 0 0 0 0 0 0.10661091603324019
1 0 2 1 2 0 2 3 2 0.07432086149923774
1 0 2 0 2 1 0 5 1 0.5768319117036064
0 1 0 4 0 1 3 5 0 0.7063881700757215
0 1 0 4 3 0 2 1 2 0.17904655587276128
0 0 2 0 2 1 2 0 0 0.21700520517911073
0 0 2 2 0 1 2 3 2 0.011005275155275841
1 0 0 1 3 1 2 0 5 0.8356067026585599
1 1 0 1 2 0 0 2 1 0.17213738557389782
0 1 0 1 0 0 1 3 0 0.0012761024902670293
1 0 2 2 2 1 3 5 2 0.7893617127786153
0 1 1 2 1 0 2 1 1 0.7426002809905407
1 1 3 3 3 1 3 0 4 1.1445195007327924
1 0 2 0 3 1 2 2 3 0.9485263837447162
0 0 1 1 3 0 3 2 5 0.6903714855600475
0 0 3 3 0 0 1 2 3 0.7253865320970445
1 1 3 3 3 1 2 1 1 0.9552599025911529
1 0 2 0 2 0 3 3 0 0.0005133463780349392
0 0 1 1 2 1 3 0 0 1.4121872287058654
1 1 0 1 2 1 3 5 4 0.6868492158248335
1 1 1 0 1 0 1 5 2 0.516596167087846
0 0 1 0 2 1 2 2 3 0.5648347003236358
1 1 1 0 1 0 3 0 3 0.4212551074370489
1 1 0 2 3 0 2 1 2 0.6030144964009386
0 0 0 0 2 0 1 5 5 0.41747243944119145
0 1 3 3 1 0 1 0 5 0.627732316263372
0 0 1 2 2 0 2 5 3 0.44100248746296666
0 0 0 0 2 1 1 0 2 0.2752980106030214
1 1 1 1 0 0 2 3 5 0.01308222995527853
0 0 2 2 3 1 2 0 0 0.110994812156063
0 0 3 3 3 0 3 2 3 0.7042527654236258
1 0 0 0 3 0 0 5 2 0.3379057786929865
1 1 1 2 2 0 3 0 5 0.5288719274260387
0 1 2 1 3 0 3 2 5 0.5860525992181607
0 0 1 1 3 0 1 3 5 0.012935788226567256
1 1 0 4 2 1 1 0 3 1.027972834585272
0 0 0 0 0 0 0 3 0 0.0005094827504239056
0 1 0 0 2 1 2 5 5 0.6719132330499047
1 0 3 3 3 0 1 0 3 0.8272652011986203
1 1 0 1 2 0 2 2 3 0.5088204988345316
0 0 1 1 0 0 2 4 3 0.871989657001622
1 1 0 2 2 0 2 1 0 0.3176754687550774
1 0 1 0 0 0 3 3 5 0.014800143589393114
1 1 1 1 1 0 1 2 2 0.6558224039363215
1 1 3 3 2 1 3 3 3 0.19594930575414143
1 1 1 4 2 1 2 0 1 0.6573038508221043
0 0 0 2 3 0 2 5 2 0.21686360871073979
0 1 0 4 1 1 2 0 1 0.7730319001902304
0 0 0 0 2 1 0 0 3 0.16865758696366048
0 0 0 1 3 1 0 5 5 0.575627349267103
1 0 1 0 2 1 3 2 3 0.7341486608458485
0 1 0 2 2 0 0 5 2 0.3547691534199564
1 1 1 1 0 0 2 4 0 0.6659539248970776
1 1 2 2 2 0 0 3 4 0.06808639606585788
0 0 1 2 1 1 3 5 5 0.5375246609420102
1 1 2 2 2 0 0 2 5 0.4598364107980418
0 0 2 0 2 0 1 0 0 0.29991036528723214
1 0 1 1 2 1 1 3 5 0.0005581540769130041
1 0 0 0 3 0 2 4 4 0.679140862171131
0 0 2 2 0 1 1 0 4 0.8086967500058001
1 0 0 0 3 1 0 3 3 9.43025492504825e-05
0 0 0 1 3 0 2 5 3 0.546849247340254
1 1 1 4 0 1 3 3 4 0.00042548043843052046
0 1 0 4 3 0 0 5 3 0.5620178791974586
1 0 2 0 0 0 0 3 1 0.0007729916163839505
1 1 2 1 3 0 1 3 3 0.012594412774934095
1 0 2 2 3 0 0 2 5 0.4465481787652863
1 0 2 0 2 0 1 5 3 0.45755823710042653
0 0 0 1 2 0 2 0 4 0.33358712464821805
1 0 2 2 3 0 1 0 0 0.15943758059107144
0 0 2 0 2 1 0 5 0 0.637764751190502
0 1 2 0 3 1 2 2 3 0.7829988965284814
0 1 2 1 1 0 1 0 2 0.5810362078250264
0 1 1 0 0 1 2 3 2 0.0012494554433435886
1 1 3 3 3 0 3 2 4 0.7593330341806902
1 1 0 4 1 0 2 1 1 0.6104219070757906
1 1 0 1 2 0 0 2 4 0.48716441637917235
0 1 0 0 0 0 3 2 1 0.8999948135275163
1 0 3 3 3 1 3 3 3 0.19531147676262992
0 1 0 0 1 0 2 4 4 0.9049153147203747
0 1 0 4 0 1 1 2 4 0.7075175760258537
0 1 2 1 2 1 2 5 0 0.28765408159011824
0 1 1 0 0 1 0 3 4 0.0010893501639995455
0 0 0 1 2 0 1 0 0 0.30699291617521557
1 1 3 3 1 1 2 2 3 0.833612538999567
0 1 1 0 2 0 2 1 2 0.3580476527412673
0 0 2 1 1 0 1 5 1 0.3342322848953949
1 1 0 4 0 1 3 3 2 6.264562803272689e-05
0 1 1 1 0 0 0 2 2 0.7000077426611296
1 1 0 1 3 0 2 5 3 0.5588881760564572
1 1 1 0 3 1 1 3 1 0.0001795023969763484
1 1 0 0 0 0 3 2 4 0.6934077389272699
1 1 1 1 2 0 3 0 4 0.5609262435673015
1 0 1 0 0 1 2 0 5 0.5470642316419725
1 1 0 4 2 0 3 5 2 0.5806538174171627
0 1 2 4 0 0 2 0 5 1.0278595476868504
0 1 2 2 2 1 0 5 0 0.2974715823969452
1 0 1 0 0 1 2 3 1 0.0003014551921051786
1 0 0 1 1 1 2 4 4 0.9671781473455991
0 1 2 2 2 0 3 3 3 0.02801055987652145
0 0 2 0 3 1 2 0 1 0.44731900448264983
0 1 0 1 1 0 2 2 1 0.7662106169759265
0 0 0 0 1 1 3 3 0 0.00033453281368443625
1 0 0 0 1 0 2 2 4 0.44661796493033423
0 1 2 2 3 0 3 3 4 0.017678852516959748
1 0 2 2 1 0 3 3 5 0.064756409772724
0 1 1 0 2 0 0 5 4 0.7828686745669166
0 1 1 1 2 0 2 4 0 0.5363045765224276
0 1 1 2 2 0 2 0 0 0.3887126525911657
0 0 1 1 2 1 1 0 2 1.3764900530151072
0 0 2 1 0 0 0 3 4 0.14379416316926785
0 1 2 0 1 0 3 3 1 0.040208019211063595
1 1 2 4 0 1 2 0 2 1.0403721024728896
1 0 0 1 2 0 2 0 0 0.25004673372693803
0 0 1 1 1 0 1 0 0 0.46088193871485034
1 0 2 0 2 1 2 3 4 0.0004886275808293005
1 1 2 2 3 0 2 4 4 0.8499550582271483
1 1 0 1 0 0 0 0 4 0.5381223099065017
0 1 0 2 3 0 3 5 4 0.39605378817961967
1 1 2 4 2 0 0 3 2 0.00067183649839441
1 0 1 0 2 0 2 0 1 0.4880196873507072
0 1 0 2 0 0 1 3 2 0.0013263631234753323
0 0 0 1 1 1 3 0 2 0.42064387330873865
0 1 1 1 0 1 3 3 3 0.023261831542984883
0 1 0 0 2 0 2 4 0 0.560176552551454
0 1 0 1 2 0 0 5 3 0.6286311403932969
1 1 2 1 0 1 2 0 3 0.8483654975140551
1 1 0 0 3 0 0 0 5 0.3678163193362148
1 0 0 0 0 0 2 0 2 0.6273251046709226
0 1 0 1 3 1 0 0 3 0.711521447554526
1 0 2 1 1 1 1 0 2 0.9723762312116583
1 1 2 0 1 1 2 5 0 0.8120539919504389
0 0 2 0 1 1 1 5 3 0.34512048652292604
0 0 2 0 2 0 1 2 3 0.6648891522020945
1 1 2 4 1 1 0 3 0 0.0002255274399600923
0 1 1 1 0 0 3 5 4 0.7657329926933897
0 0 1 0 2 1 0 2 0 0.2268722620118449
1 0 2 0 0 0 0 3 2 0.0009500216392123927
0 0 2 0 1 0 1 5 2 0.6536308266287392
0 1 2 4 3 1 1 3 0 0.00016542161473359315
1 1 0 1 1 0 2 3 4 0.0005103252116031213
0 0 2 2 0 1 1 2 2 0.7869001747701603
1 0 1 0 0 1 2 0 5 0.5470642316419725
0 1 2 1 3 1 2 0 3 0.7773823204282857
0 1 1 0 0 0 3 0 1 0.8250510504436397
1 0 0 1 2 0 2 5 0 0.24788085711543634
0 0 0 1 3 1 2 4 1 0.6471772004520041
1 1 1 1 3 1 1 0 2 1.2355717922529876
1 1 2 1 1 1 2 1 0 0.2718466680680767
0 0 1 1 0 0 1 3 3 0.02831569099267671
0 1 1 4 2 0 0 5 5 0.6026540125607481
1 0 0 1 0 1 1 0 0 0.35379696981599046
1 0 1 2 1 1 0 5 4 0.791051836689187
1 0 3 3 3 1 2 2 2 0.9740738907903929
1 0 2 0 1 1 2 5 1 0.7116273819017811
1 0 1 1 2 0 1 0 1 0.5927596752344652
0 0 1 2 1 0 1 0 1 0.8532676297123472
1 1 2 2 0 0 2 3 2 0.19096203195779582
0 0 3 3 0 0 3 5 4 0.9470601371768
1 1 2 0 0 0 0 0 2 0.684432467996904
1 1 1 1 2 1 2 4 4 1.0360015146883639
0 1 1 4 0 1 1 5 0 0.6758928831406357
0 0 1 0 2 0 0 5 0 0.2899951871909548
0 1 0 1 3 0 2 1 5 0.31861857351084766
1 1 0 0 0 1 3 2 4 0.9022510980573853
1 1 2 4 2 1 2 2 2 1.029028450602617
0 1 2 0 3 1 3 2 5 0.6823618703456596
1 0 1 0 3 0 2 4 1 0.6864654243343146
1 0 1 0 1 1 3 5 0 0.5351729684722303
0 0 2 2 2 1 3 5 5 0.5025289679477717
1 1 1 2 3 0 1 3 2 0.013693285114758114
1 1 2 2 3 0 3 0 0 0.18912518248025134
0 1 1 0 1 1 3 3 4 0.0015754783314991419
1 0 2 2 1 1 0 5 1 0.7072741094009962
1 0 2 1 1 0 2 4 0 0.5353649058662059
1 1 0 2 2 0 2 1 3 0.29560124999941484
0 1 3 3 3 1 3 0 2 0.6713727755620265
0 0 3 3 3 1 2 4 2 0.8583236387188199
0 1 0 2 1 1 1 2 2 0.9600854716616057
1 1 1 2 3 1 1 2 4 1.0470787378194584
0 1 2 2 3 1 2 5 2 0.5285292663847633
1 0 2 0 2 1 3 0 4 0.7276655721050795
1 0 0 2 1 1 3 2 4 0.8269692146064397
0 0 3 3 3 0 0 3 0 0.0007952098623771073
0 1 2 4 2 0 2 4 2 0.7796047150896741
1 1 0 2 2 1 3 5 4 0.7523492764937305
0 1 2 4 3 0 0 0 1 0.365146928546169
1 1 1 0 2 0 2 1 2 0.2752267374467241
0 0 1 2 3 1 2 2 2 0.3432851601116958
1 1 2 1 1 0 3 0 2 0.6678781818257572
1 0 0 1 0 0 2 2 0 0.523347186510263
0 1 2 1 3 1 1 3 4 0.008381438967691555
0 0 2 2 2 0 0 3 1 0.050958471280772626
0 1 3 3 1 1 3 0 4 0.7571455968397128
0 1 1 1 0 1 3 0 2 0.7251938881805791
0 1 1 0 2 1 0 3 0 0.0011020731887123238
1 1 1 0 3 0 1 2 5 0.7197890335123964
1 1 1 2 2 0 2 3 1 0.000854572385391656
1 1 0 0 1 0 1 5 1 0.6508078309129702
0 1 0 1 2 0 2 4 4 0.8301290609272847
0 0 2 0 0 1 0 3 0 0.001083773248351385
0 1 2 1 3 0 2 0 0 0.23934703727721982
1 0 0 1 3 1 2 2 4 0.9262897232496168
0 1 2 1 2 1 2 2 2 0.7602792861124368
1 1 2 0 3 1 2 2 1 1.3660055371417636
1 0 0 2 2 0 3 2 0 0.2491044901188746
0 1 1 4 2 0 2 3 4 0.00035061689090130416
1 0 2 2 3 0 2 0 5 0.47774450820239245
0 0 3 3 3 0 2 4 2 0.7981746093672251
0 0 0 0 2 0 2 3 3 0.0002655817140724193
0 0 0 1 0 1 3 5 5 0.47219635656654274
0 0 2 2 2 0 1 0 4 0.39711692374453056
0 0 2 1 1 0 2 0 4 0.3218364806600491
1 0 2 2 1 0 0 2 5 0.4285161762693755
0 0 2 2 2 1 1 0 2 0.5187962381468141
1 1 2 2 0 0 3 3 3 0.15251219552815606
0 1 1 1 3 1 0 5 4 0.9737711346516217
1 0 1 2 2 0 3 0 3 0.45597025976991523
1 0 0 1 1 1 2 3 4 0.00048345729211668736
0 1 0 4 0 1 2 1 2 0.5069174731065965
0 1 1 0 3 1 2 1 0 0.11603486378884006
0 1 0 1 3 1 1 5 4 0.6781408517543212
0 1 2 0 3 1 1 3 1 0.0004535742416248218
0 1 3 3 2 0 3 0 0 1.7869360206493436
1 0 0 0 1 1 0 3 4 0.0001421507863536461
0 0 1 0 0 1 0 5 2 0.7370231596892205
1 0 1 2 0 1 1 0 3 0.8889204384557143
1 1 2 1 2 1 0 5 1 0.9546964408809545
0 0 3 3 3 1 2 1 0 0.23626368249482443
1 0 3 3 2 1 3 3 4 0.1941703955909341
1 1 0 0 2 1 3 5 5 0.916881264939464
1 1 3 3 3 1 0 5 0 1.3015465895068903
1 1 1 4 2 0 0 5 0 0.26488537586568073
1 1 2 4 3 0 3 5 2 0.32502475478675824
0 1 2 1 2 0 1 5 1 0.4214916001212084
0 1 2 1 2 0 0 5 1 0.24626208409833727
0 0 0 1 1 0 2 3 0 0.0006501752160981582
1 1 2 4 2 0 3 3 2 0.0002841417765685516
1 0 2 1 3 0 1 3 1 0.07261091659380937
1 0 2 0 1 1 3 5 0 0.5458054060169405
0 1 2 0 0 1 1 3 5 0.001534943624162369
1 1 0 1 2 1 0 0 1 0.8690069350244923
1 0 1 1 0 0 1 5 3 0.5532791707906495
0 1 0 0 2 1 3 2 3 0.7744097131553251
1 0 2 0 1 0 2 2 1 0.6272185432583826
0 1 0 4 3 1 2 0 2 0.8915254473950694
0 0 1 1 0 1 3 0 0 0.603393392122293
0 1 2 0 3 0 0 5 3 0.4001220083204569
1 1 2 2 3 1 1 2 3 1.1942759464534394
0 1 2 4 2 1 3 3 2 0.000815655050220009
1 1 1 0 2 1 1 0 2 0.9995100253878719
1 1 1 1 0 1 3 2 2 0.8272689131643944
1 1 0 0 2 1 0 2 1 0.9160193972218047
1 1 0 1 3 1 0 3 3 0.00034733678921479227
1 1 2 2 3 1 0 0 2 0.7749930236903744
0 1 1 2 1 1 3 2 3 0.8208074004373552
1 0 2 0 3 0 2 0 1 0.7057974084141998
0 1 2 4 3 1 0 5 1 0.48990393632079043
0 0 1 2 2 0 3 3 3 0.021485321373508087
0 0 0 2 3 1 1 3 0 0.00033652858210727216
1 0 1 2 3 0 1 3 1 0.0014303255538659996
0 0 2 1 2 0 1 2 4 0.473909609298515
0 1 0 1 1 0 1 2 1 0.7321468617292906
0 0 3 3 3 0 2 1 4 0.4668349539594514
0 1 1 4 0 1 2 4 1 0.9058327709014496
0 1 0 1 2 1 0 5 4 0.7907000931627525
0 1 1 1 0 0 2 2 2 1.0533737205066185
0 1 2 0 3 1 3 5 4 0.5578810769097193
1 1 1 0 2 0 0 0 5 0.42207919730609744
1 1 0 4 2 1 3 2 5 0.8946873780169509
0 1 2 2 0 0 0 2 5 0.9443166671512205
1 1 2 4 3 0 1 0 2 0.8740494191970537
0 1 2 0 3 0 3 0 3 0.5427530732673141
0 1 2 2 3 0 1 3 1 0.03630403772874675
1 1 1 4 2 0 3 5 2 0.4804834527178615
1 0 2 0 2 0 1 5 3 0.45755823710042653
0 0 0 0 3 0 3 2 2 0.4239676824653263
1 1 1 1 2 1 2 5 2 0.9284278309326388
0 0 1 1 3 0 1 3 2 0.01806434859708513
0 1 0 0 3 1 2 1 4 0.6252124285698695
1 0 2 2 0 0 2 5 2 0.636393116143395
1 0 1 0 3 0 2 1 1 0.23027771048780024
0 1 2 2 3 1 2 4 0 0.8927749944451393
0 0 1 2 2 0 2 3 0 0.0017405324029434064
1 1 2 1 3 1 0 3 4 0.00492120498756922
1 1 1 1 3 1 2 5 3 0.9912486939485896
0 0 2 1 1 1 1 2 2 0.780462973655431
0 0 2 1 2 1 2 5 2 0.5527210318995165
1 1 1 0 1 1 0 3 1 0.00022413528067237633
1 1 2 4 3 0 1 0 5 0.7270719219076608
1 0 0 1 3 0 2 2 3 0.6426842394332121
1 0 0 2 2 0 1 2 1 0.45509744092497506
1 1 2 2 0 0 2 0 3 0.6405047214933609
1 0 0 2 1 0 0 3 4 0.013675783290311902
1 0 2 0 0 1 1 2 2 0.7144599273292809
0 0 0 0 0 1 2 3 4 0.0006261886403791508
0 1 0 2 3 1 0 2 2 0.4338544514479119
0 0 2 2 0 1 3 3 2 0.011005275155275841
0 0 0 0 2 0 2 2 3 0.5952395660072466
0 0 0 2 2 0 2 1 5 0.30182950709656686
1 1 2 4 1 1 2 1 1 0.9396535144459786
1 1 2 4 3 1 2 5 4 1.1568716302390507
1 1 1 4 2 0 1 5 1 0.3949898519867938
0 1 1 2 2 0 2 1 5 0.5058494877986485
0 0 1 1 3 0 3 5 1 0.2476601488956865
0 1 0 0 2 1 1 5 1 0.23215738350829795
1 1 0 1 3 1 2 4 5 1.376495988637569
0 1 1 4 2 0 2 5 5 0.6932692299007792
1 0 1 1 3 1 0 3 4 0.0037275610300289324
1 1 0 2 1 0 2 3 5 0.001086887803085449
0 1 0 0 2 0 1 5 0 0.3547172017580415
0 0 3 3 2 1 0 2 4 2.2052722142075574
1 1 1 0 0 0 1 5 5 0.7104379070519482
0 1 2 1 2 1 2 2 5 0.7176309148047763
1 1 3 3 3 1 2 2 0 1.2768136249229534
0 0 0 0 3 0 0 3 5 0.00024804970550063266
0 0 1 2 0 1 1 2 4 0.7071886451717989
0 0 0 2 1 0 3 0 1 0.6564541499688759
1 0 2 1 0 1 3 3 0 0.001585712418635265
1 1 0 0 1 0 3 0 2 0.5403640153028946
0 0 3 3 1 1 0 0 2 0.8150100865805815
0 1 2 2 3 0 3 2 4 0.5976080122249914
0 0 1 2 1 1 2 2 4 0.640536908546433
1 0 0 1 0 1 2 5 5 0.6312136226677668
0 1 0 4 2 0 2 0 0 0.38174354068354976
1 1 2 0 1 1 3 0 3 0.8914241570297469
0 0 2 2 1 0 1 0 0 0.4549475029121875
1 1 0 2 2 0 2 0 4 0.5619024713609908
1 1 0 2 0 1 2 0 5 0.7576954629294338
0 0 0 1 0 1 2 3 3 0.0006373034711784287
0 1 0 1 0 1 1 0 2 0.5828920004589286
0 0 0 2 1 0 2 2 1 0.5909453616825282
1 1 2 4 2 0 0 0 2 0.38503797349381835
1 0 0 0 1 1 1 2 2 0.9693271296439198
1 1 1 0 2 1 1 3 5 0.00026025265994245175
0 1 1 2 1 1 0 2 2 0.7747673302736455
0 1 2 1 1 1 2 3 0 0.09226405957235173
0 0 2 0 3 0 2 0 4 0.46148354818225307
1 0 1 1 3 0 2 0 3 0.4992202429983389
0 0 2 1 0 0 2 3 4 0.14652862722354512
1 1 2 2 1 0 1 3 1 0.2259640142200632
0 0 3 3 1 0 2 0 1 0.7215445235189165
1 0 0 1 0 1 0 5 3 0.7347893346435828
1 1 0 2 3 0 2 3 1 0.0006643427897990082
0 0 1 0 3 1 1 0 0 0.1061783085794481
1 0 3 3 3 0 3 0 1 0.7177091717720161
1 0 0 0 1 1 2 0 2 0.7802439218384587
1 0 1 1 0 0 2 4 5 0.5919847534333352
1 1 2 0 2 1 3 3 4 0.0008030814433108853
0 0 0 1 2 1 1 2 5 0.5902071486105586
1 1 2 4 0 0 1 0 0 0.6972102836241464
1 1 1 2 2 1 0 5 4 0.8165501064389784
1 1 2 4 1 1 3 0 1 0.9344367785392539
0 0 1 2 3 0 0 5 3 0.3919282751968149
1 0 0 0 3 0 1 5 1 0.4732834681998493
0 1 1 2 0 0 2 0 1 0.8493002441974571
0 0 0 0 3 1 2 2 3 0.6057405554596142
1 1 1 0 0 0 2 4 1 0.8691501556264578
0 0 0 1 0 1 0 0 0 0.6679299497831439
0 1 1 1 3 1 2 0 2 0.359991096819906
1 0 3 3 1 1 3 2 3 0.8710666571677399
0 1 0 2 0 1 1 0 0 0.6797463729895432
1 1 1 4 2 1 2 1 1 0.8245890532521843
0 0 1 2 0 1 1 2 3 0.6617451405690017
1 1 1 4 2 1 3 3 1 0.00030860201664675385
1 1 2 4 1 0 1 0 4 0.7152609950676072
0 1 2 1 2 1 2 5 3 0.8556044459730084
0 0 0 0 3 0 3 0 0 0.18779884059653312
0 1 0 1 0 1 0 2 1 0.7874266631022475
1 1 2 4 0 1 1 3 2 0.0006378749774464553
1 0 0 0 2 1 1 0 2 0.6434199292187145
1 1 3 3 0 0 0 2 3 0.7134856311545801
1 1 3 3 2 1 2 4 5 1.0692346767996923
1 1 0 2 0 0 1 5 4 0.6426125061023578
1 1 0 1 3 1 3 5 0 1.5691101023929772
0 1 0 4 0 1 2 5 3 0.9627775554631308
1 1 1 0 3 1 2 5 2 1.0326219954953288
0 1 3 3 0 1 0 5 3 0.7330708468063507
0 1 1 4 0 0 0 0 2 0.6149278716783706
0 1 2 0 0 0 2 0 2 0.6906810271404002
1 0 0 2 2 1 3 2 4 0.7516568904350795
1 1 2 0 0 1 3 3 5 0.0007682290419071682
0 0 2 1 2 1 2 0 2 0.7604601623218914
0 0 3 3 2 1 2 2 4 3.1348149433947023
0 1 0 2 1 0 2 4 1 0.865218190976511
0 1 3 3 2 0 3 3 1 0.0014787239994648955
0 1 1 0 3 0 0 0 1 0.3317265770356761
1 0 3 3 0 1 0 2 4 0.7885450967548806
1 1 1 4 1 0 2 1 3 0.26121326155952435
1 1 2 4 0 1 0 3 5 0.35114399636907423
1 1 2 2 1 1 0 0 0 0.3494262063497405
1 0 1 1 3 1 1 3 0 0.0003013475511276836
0 1 2 1 2 1 2 3 0 0.06651725015667542
0 0 3 3 1 0 0 2 1 0.7711498095073148
1 1 3 3 0 1 3 2 2 0.9236152629453415
0 1 1 1 2 1 1 3 1 0.028478507387158805
0 1 1 2 2 1 1 5 3 0.8076359987507844
1 1 2 1 0 0 3 2 0 0.5367161222546046
0 0 1 1 0 1 3 3 4 0.001362225357506758
1 0 0 2 2 1 1 0 0 0.6278691575587079
0 1 2 0 1 1 1 2 3 0.8198718631483566
1 0 0 0 3 1 2 2 2 0.956401591619273
0 0 2 1 0 1 0 0 3 0.9199956834537549
1 0 1 1 3 1 3 0 5 0.932417350479273
1 1 2 1 3 0 3 5 0 0.18716410640428968
1 1 1 0 1 1 2 3 2 0.00041840736890825896
1 0 2 0 0 1 2 5 4 0.6291788815210676
1 1 0 4 2 1 0 5 5 0.7411165093342322
0 1 1 1 0 0 2 3 2 0.03670850380547831
0 0 2 0 2 1 1 2 0 0.7221866030962036
1 0 2 0 1 0 1 3 2 0.000860166380189756
1 1 0 0 1 1 3 2 3 0.8668247022618629
0 1 0 1 2 1 3 3 5 0.011710562004852675
0 0 0 2 0 0 1 5 0 0.690491696584314
1 0 0 0 3 0 2 2 2 0.6502841618969502
1 1 1 4 1 0 2 1 0 0.4481099292460745
1 0 0 2 1 0 2 5 1 0.6748238407416003
0 1 2 2 3 0 0 2 3 0.7634967721409628
0 1 2 4 1 0 1 0 4 0.41013155760162445
0 0 0 0 1 0 3 0 2 0.3911161377488674
0 1 1 2 2 0 0 0 2 0.4170137827106181
1 1 1 2 2 1 1 2 2 0.7242364768249064
0 1 0 4 1 0 0 3 2 0.0005399554612845482
1 0 0 1 1 0 0 3 3 0.0005248309974094123
0 0 1 0 0 1 0 2 0 0.4614926004495885
0 1 1 0 1 1 2 5 3 0.6871706743245175
1 1 0 2 3 1 2 5 0 1.3695245292713911
0 1 1 2 0 1 3 5 1 0.946791383890189
1 1 3 3 3 0 2 5 5 0.6674473148324668
1 1 0 4 2 0 1 2 4 0.6831583507165799
0 0 3 3 0 0 1 5 4 0.7417541674402659
0 0 0 1 3 0 2 3 5 0.009002390741817148
1 1 2 4 2 0 2 4 0 0.5707735688812939
0 1 3 3 1 1 0 5 0 0.45952126153886086
0 1 1 1 0 0 0 5 5 0.9357505018961554
1 1 2 0 0 1 2 1 1 0.823669339658977
0 0 2 2 1 1 1 0 0 0.3745949259881223
1 1 0 4 1 1 2 0 3 0.9343120271186566
1 0 2 1 1 0 0 0 0 0.33872608066252924
0 0 3 3 1 0 3 0 3 0.43501013977853853
0 0 1 1 2 1 3 2 1 2.5446113347918446
0 1 1 1 1 0 3 3 2 0.19977911652602715
1 1 1 0 3 0 3 2 4 0.5268430356777217
1 0 2 2 1 1 2 1 1 0.7690769192389789
0 0 2 2 2 0 0 3 2 0.034686547326722925
1 1 2 4 1 0 2 4 3 0.8283034069495951
0 1 1 2 2 0 2 5 4 0.5775133325661664
0 0 3 3 1 1 0 5 4 0.8538000656301723
1 0 2 0 0 0 1 5 4 0.5367148664465784
0 1 0 0 3 1 1 3 3 0.00017941507983407088
0 1 2 0 0 0 2 3 4 0.0014931732692878106
0 1 2 2 3 0 1 0 3 0.5278904656882988
1 1 1 1 3 0 3 2 5 0.6741950616553907
0 1 2 4 1 1 0 5 3 0.663908217868335
1 1 0 2 1 0 0 3 3 0.0013051454674969261
1 0 3 3 0 1 1 3 1 0.0016857918803158602
0 1 0 0 3 0 2 3 4 0.00019595782031914293
1 1 1 4 1 1 2 2 0 1.0652306293824765
0 0 2 2 0 0 1 3 4 0.15145596045230222
1 1 2 0 0 1 1 2 2 0.8813240418161983
0 1 1 0 2 0 0 0 1 0.491823235896208
1 1 1 2 1 1 3 0 4 1.0064477782071806
1 1 1 0 3 1 1 3 1 0.0001795023969763484
1 0 0 1 2 1 2 3 3 0.00022797885734312064
1 1 1 2 0 0 0 2 4 0.7255600929997454
1 1 1 0 0 0 2 2 5 0.7468850820844147
0 1 2 0 1 1 0 3 2 0.022974309557744068
1 0 0 1 1 1 1 5 3 0.6737905383422836
1 1 0 1 2 1 2 1 4 1.0278394303765976
0 1 1 1 0 0 2 1 3 0.6082139540445429
1 1 0 0 3 1 0 5 5 0.9692960605704846
0 1 2 4 1 0 2 4 5 1.0363250063660014
0 1 2 4 1 1 1 3 1 0.0012453104778417897
1 0 2 0 1 1 3 5 3 0.6616361189138944
0 0 3 3 3 1 1 2 2 0.6123034491251771
0 1 1 4 1 1 2 3 1 0.000756237212343778
0 1 0 4 0 0 0 0 2 0.26694622707876314
0 1 0 2 3 0 2 4 2 0.6816608730683625
1 1 1 1 2 0 2 1 0 0.28697349265060373
0 1 3 3 3 1 2 3 0 0.001847136676218767
1 1 0 0 0 1 0 2 1 0.7514512100133666
1 1 1 4 3 1 3 3 4 7.031187987393665e-05
1 0 2 2 1 0 0 5 1 0.5198690965969787
0 1 0 4 1 1 2 2 2 0.5902380380525566
0 0 2 0 1 1 1 3 5 0.0007997670095675611
1 0 3 3 2 0 2 2 2 0.40073860833631997
1 1 2 4 3 1 2 5 5 0.989364540830242
1 1 0 0 2 1 0 5 0 0.6743843198604346
1 1 0 1 3 0 0 5 5 0.4515421055025444
1 1 0 1 1 1 3 2 4 0.9200031284495003
0 0 2 2 3 0 2 5 4 0.4455141344318045
0 1 0 1 3 0 2 2 3 0.4145192551998888
0 1 1 1 3 1 2 5 1 0.5893740407931723
0 1 0 4 2 1 2 1 2 0.5790211549751254
1 1 0 1 0 1 3 0 4 0.8446784350401831
0 0 2 1 0 0 0 3 3 0.17605208021435134
0 0 2 2 2 0 0 3 0 0.0030288150412536336
1 1 2 0 2 0 2 2 0 0.6178611183821959
0 1 2 4 3 0 0 2 4 0.5510338534943143
1 0 2 0 3 1 1 2 2 1.0474476866136495
0 1 3 3 3 0 0 0 2 0.32502209778428887
1 0 2 1 0 0 3 0 1 0.6491971947618107
0 1 2 0 1 0 3 2 1 0.8826744546448831
0 0 1 0 3 1 2 4 0 0.6793447227328259
1 0 2 2 2 1 1 3 0 0.0016274938676469266
1 0 0 0 2 1 3 0 4 0.7010650176289948
1 1 1 1 1 1 2 2 0 0.6723662148955568
1 1 1 1 0 1 3 3 1 0.001429744731585281
0 1 2 2 3 0 3 2 4 0.5976080122249914
1 0 2 2 0 1 2 5 0 0.3546893947527191
1 0 1 1 0 0 2 1 0 0.441953306475644
1 0 3 3 2 1 3 5 3 0.8763052680342771
1 0 2 1 1 1 3 0 5 0.8109204440645837
